,Conf_details,Conf_methods,Loc,Block,Loc_details
150,services/core/java/com/android/server/location/GnssLocationProvider.java,['void com.android.server.location.GnssLocationProvider.handleUpdateNetworkState(Network)'],75,1,"[(880, 954, 75)]"
151,telephony/java/android/telephony/CarrierConfigManager.java,[],7,1,"[(1241, 1247, 7)]"
152,services/tests/uiservicestests/src/com/android/server/notification/NotificationRecordTest.java,[],2,2,"[(41, 42, 2), (0, 0, 0)]"
153,packages/SettingsLib/src/com/android/settingslib/wifi/AccessPointPreference.java,['void com.android.settingslib.wifi.AccessPointPreference.bindFrictionImage(ImageView)'],5,1,"[(211, 215, 5)]"
154,wifi/java/android/net/wifi/ScanResult.java,[],24,2,"[(141, 163, 23), (198, 198, 1)]"
155,telephony/java/android/telephony/DisconnectCause.java,['String android.telephony.DisconnectCause.toString(int)'],111,2,"[(345, 391, 47), (593, 656, 64)]"
156,core/java/android/app/Instrumentation.java,"['ActivityResult android.app.Instrumentation.execStartActivityAsCaller(Context,IBinder,IBinder,Activity,Intent,int,Bundle,boolean,int)']",3,1,"[(1910, 1912, 3)]"
157,wifi/java/android/net/wifi/p2p/WifiP2pManager.java,[],6,1,"[(484, 489, 6)]"
158,packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarIconList.java,[],1,1,"[(21, 21, 1)]"
159,core/java/android/provider/Settings.java,[],6,2,"[(8272, 8274, 3), (8430, 8432, 3)]"
160,services/core/java/com/android/server/am/ActivityManagerService.java,['void com.android.server.am.ActivityManagerService.updateOomAdjLocked()'],8,1,"[(17342, 17349, 8)]"
161,services/core/java/com/android/server/am/ActiveServices.java,"['boolean com.android.server.am.ActiveServices.scheduleServiceRestartLocked(ServiceRecord,boolean)']",10,1,"[(2273, 2282, 10)]"
162,packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java,[],3,1,"[(46, 48, 3)]"
163,services/core/java/com/android/server/wm/WindowManagerService.java,"['int com.android.server.wm.WindowManagerService.addWindow(Session,IWindow,int,LayoutParams,int,int,Rect,Rect,Rect,Rect,ParcelableWrapper,InputChannel)', 'float com.android.server.wm.WindowManagerService.getCurrentAnimatorScale()']",5,2,"[(1124, 1126, 3), (3135, 3136, 2)]"
164,wifi/java/android/net/wifi/WifiManager.java,"['int android.net.wifi.WifiManager.dppBootstrapRemove(int)', 'int android.net.wifi.WifiManager.dppConfiguratorAdd(String,String,int)', 'int android.net.wifi.WifiManager.dppListen(String,int,boolean,boolean)', 'int android.net.wifi.WifiManager.dppConfiguratorRemove(int)', 'void android.net.wifi.WifiManager.dppStopListen()', 'String android.net.wifi.WifiManager.dppGetUri(int)', 'int android.net.wifi.WifiManager.dppStartAuth(WifiDppConfig)', 'int android.net.wifi.WifiManager.dppAddBootstrapQrCode(String)', 'String android.net.wifi.WifiManager.dppConfiguratorGetKey(int)', 'int android.net.wifi.WifiManager.dppBootstrapGenerate(WifiDppConfig)', 'String android.net.wifi.WifiManager.getCapabilities(String)']",208,2,"[(910, 935, 26), (4012, 4193, 182)]"
165,media/java/android/media/MediaFormat.java,[],11,1,"[(940, 950, 11)]"
