,Conf_details,Conf_methods,Loc,Block,Loc_details
175,services/core/java/com/android/server/accounts/AccountManagerService.java,"['void com.android.server.accounts.AccountManagerService.removeAccount(IAccountManagerResponse,Account,boolean)']",11,1,"[(2134, 2144, 11)]"
176,services/core/java/com/android/server/locksettings/LockSettingsService.java,"['long com.android.server.locksettings.LockSettingsService.setLockCredentialWithAuthTokenLocked(LockscreenCredential,AuthenticationToken,int)']",1,1,"[(2806, 2806, 1)]"
177,packages/Tethering/src/com/android/server/connectivity/tethering/TetheringConfiguration.java,"['void com.android.server.connectivity.tethering.TetheringConfiguration.<init>(Context,SharedLog,int)']",11,3,"[(40, 41, 2), (104, 105, 2), (117, 123, 7)]"
178,telephony/java/android/telephony/DisconnectCause.java,['String android.telephony.DisconnectCause.toString(int)'],158,2,"[(363, 456, 94), (677, 740, 64)]"
179,wifi/java/android/net/wifi/SoftApConfiguration.java,"['void android.net.wifi.SoftApConfiguration.<init>(String,MacAddress,String,boolean,int,int,int,int,String)', 'void android.net.wifi.SoftApConfiguration.<init>(String,MacAddress,String,boolean,int,int,int,int,String)', 'boolean android.net.wifi.SoftApConfiguration.equals(Object)', 'int android.net.wifi.SoftApConfiguration.hashCode()', 'String android.net.wifi.SoftApConfiguration.toString()', 'void android.net.wifi.SoftApConfiguration.writeToParcel(Parcel,int)', 'String android.net.wifi.SoftApConfiguration.getOweTransIfaceName()', 'int android.net.wifi.SoftApConfiguration.Builder.setSecurityType()', 'void android.net.wifi.SoftApConfiguration.Builder.clearAllPassphrase()', 'void android.net.wifi.SoftApConfiguration.Builder.<init>()', 'void android.net.wifi.SoftApConfiguration.Builder.<init>(SoftApConfiguration)', 'SoftApConfiguration android.net.wifi.SoftApConfiguration.Builder.build()', 'Builder android.net.wifi.SoftApConfiguration.Builder.setOweTransIfaceName(String)']",48,14,"[(201, 202, 2), (213, 214, 2), (223, 223, 1), (243, 243, 1), (248, 249, 2), (264, 264, 1), (278, 278, 1), (294, 294, 1), (373, 380, 8), (398, 410, 13), (423, 423, 1), (439, 439, 1), (449, 450, 2), (627, 638, 12)]"
180,packages/SystemUI/src/com/android/systemui/statusbar/policy/WifiSignalController.java,['void com.android.systemui.statusbar.policy.WifiSignalController.notifyListeners(SignalCallback)'],1,1,"[(128, 128, 1)]"
181,services/core/java/com/android/server/Watchdog.java,"['void com.android.server.Watchdog.run()', 'void com.android.server.Watchdog.run()', 'void com.android.server.Watchdog.run()']",51,3,"[(617, 618, 2), (629, 676, 48), (688, 688, 1)]"
182,telephony/java/android/telephony/PhoneNumberUtils.java,"['boolean android.telephony.PhoneNumberUtils.isLocalEmergencyNumberInternal(int,String,Context,boolean)']",11,2,"[(29, 30, 2), (2196, 2204, 9)]"
183,services/core/java/com/android/server/wm/ActivityRecord.java,"['void com.android.server.wm.ActivityRecord.<init>(ActivityTaskManagerService,WindowProcessController,int,int,String,Intent,String,ActivityInfo,Configuration,ActivityRecord,String,int,boolean,boolean,ActivityStackSupervisor,ActivityOptions,ActivityRecord)', 'void com.android.server.wm.ActivityRecord.stopIfPossible()']",7,2,"[(1662, 1664, 3), (4887, 4890, 4)]"
184,services/core/java/com/android/server/BluetoothManagerService.java,"['boolean com.android.server.BluetoothManagerService.disable(String,boolean)']",23,3,"[(300, 314, 15), (320, 323, 4), (1049, 1052, 4)]"
185,core/java/android/provider/Settings.java,"['boolean android.provider.Settings.System.putStringForUser(ContentResolver,String,String,int)']",3,2,"[(3040, 3040, 1), (5097, 5098, 2)]"
186,services/core/java/com/android/server/am/ActivityManagerService.java,['void com.android.server.am.ActivityManagerService.checkExcessivePowerUsageLocked()'],4,1,"[(16973, 16976, 4)]"
187,packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java,['void com.android.systemui.statusbar.policy.MobileSignalController.mapIconSets()'],11,3,"[(18, 18, 1), (51, 53, 3), (279, 285, 7)]"
